Model                                     | Median Given | Grading Bias         |
-----------------------------------------+--------------+----------------------+
GPT-3.5-Turbo                             |      A       | Lenient (+1 grade)   |
Llama-3-8B                                |      B+      | Neutral              |
GPT-4o-mini                               |      B+      | Neutral              |
Qwen-Turbo                                |      B+      | Neutral              |
grok-beta                                 |      B+      | Neutral              |
grok2-1212                                |      B+      | Neutral              |
Claude-3.7-Sonnet                         |      B       | Slightly Strict (-1/3 grade) |
Claude-3-Sonnet                           |      A-      | Lenient (+1 grade)   |
Gemini Flash 1.5                          |      B       | Slightly Strict (-1/3 grade) |
DeepSeek-Distill-Qwen-32b                 |      B+      | Neutral              |
GPT-4o                                    |     N/A      | Slightly Lenient (+1/3 grade) |
Gemini Pro 1.5                            |      B-      | Strict (-1 grade)    |
o1-mini                                   |      B+      | Neutral              |
Claude-3-Opus                             |      B+      | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online     |      B+      | Neutral              |
Perplexity: Llama 3.1 Sonar 70B           |      A-      | Lenient (+1 grade)   |
Qwen-Plus                                 |      B+      | Neutral              |
Qwen-Max                                  |      B       | Slightly Strict (-1/3 grade) |
o3-mini-high                              |      A-      | Lenient (+1 grade)   |
o1                                        |      A-      | Lenient (+1 grade)   |
Perplexity: Llama 3.1 Sonar 405B Online   |      A-      | Lenient (+1 grade)   |
Claude-3.7-Sonnet-thinking                |      B       | Slightly Strict (-1/3 grade) |
DeepSeek-R1-Full                          |      B+      | Neutral              |
-----------------------------------------+--------------+----------------------+
OVERALL                                   |      B+      | Baseline             |
